filename;description;en;bg;ro;tr;de;el;it;fr;es;pt;pl;cs;sk;hu;hr;sl
__voice_id;ElevenLabs voice ID (per language);WZlYpi1yf6zJhNWXih74;M1ydWt7KnBCiuv4CnEDC;WZlYpi1yf6zJhNWXih74;WZlYpi1yf6zJhNWXih74;WZlYpi1yf6zJhNWXih74;WZlYpi1yf6zJhNWXih74;WZlYpi1yf6zJhNWXih74;WZlYpi1yf6zJhNWXih74;WZlYpi1yf6zJhNWXih74;WZlYpi1yf6zJhNWXih74;WZlYpi1yf6zJhNWXih74;WZlYpi1yf6zJhNWXih74;WZlYpi1yf6zJhNWXih74;WZlYpi1yf6zJhNWXih74;WZlYpi1yf6zJhNWXih74;WZlYpi1yf6zJhNWXih74
__model_id;ElevenLabs model ID;eleven_multilingual_v2;eleven_multilingual_v2;eleven_multilingual_v2;eleven_multilingual_v2;eleven_multilingual_v2;eleven_multilingual_v2;eleven_multilingual_v2;eleven_multilingual_v2;eleven_multilingual_v2;eleven_multilingual_v2;eleven_multilingual_v2;eleven_multilingual_v2;eleven_multilingual_v2;eleven_multilingual_v2;eleven_multilingual_v2;eleven_multilingual_v2
__speed;Speech speed multiplier;1.05;1.12;1.05;1.05;1.05;1.05;1.05;1.05;1.05;1.05;1.05;1.05;1.05;1.05;1.05;1.05
__stability;Voice stability 0-1;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0
__similarity_boost;Similarity boost 0-1;0.75;0.75;0.75;0.75;0.75;0.75;0.75;0.75;0.75;0.75;0.75;0.75;0.75;0.75;0.75;0.75
__style;Style exaggeration 0-1;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
__use_speaker_boost;Speaker boost true/false;TRUE;TRUE;TRUE;TRUE;TRUE;TRUE;TRUE;TRUE;TRUE;TRUE;TRUE;TRUE;TRUE;TRUE;TRUE;TRUE
alert_rz_approaching;;Approaching a restricted zone!;Приближавате зонас ограничен достъп!;Vă apropiați de o zonă cu acces restricționat!;Kısıtlı bölgeye yaklaşıyorsunuz!;Sie nähern sich einer Zone mit beschränktem Zugang!;Πλησιάζετε ζώνη περιορισμένης πρόσβασης!;Attenzione, zona a traffico limitato in avvicinamento!;Approche d'une zone restreinte !;¡Te estás aproximando a una zona restringida!;A aproximar-se de uma zona condicionada!;Zbliżasz się do strefy ograniczonej!;Přibližujete se k omezené zóně!;Priblíženie k obmedzenej zóne!;Korlátozott zónához közeledik!;Približavate se ograničenoj zoni!;Bližate se omejeni coni!
alert_rz_entering;;You have entered a restricted zone;Влязохте в зонас ограничeн достъп!;Ați intrat într-o zonă cu acces restricționat;Kısıtlı bölgeye girdiniz;Sie haben eine Zone mit beschränktem Zugang betreten;Εισήλθατε σε ζώνη περιορισμένης πρόσβασης;Stai entrando in una zona a traffico limitato.;Vous entrez dans une zone restreinte;Has entrado en una zona restringida;Entrou numa zona condicionada;Wjechałeś do strefy ograniczonej;Vstoupili jste do omezené zóny.;Vstúpili ste do obmedzenej zóny;Belépett egy korlátozott zónába;Ušli ste u ograničenu zonu;Vstopili ste v omejeno cono
alert_rz_exiting;;You have exited a restricted zone;Излязохте от зонас ограничен достъп.;Ați ieșit dintr-o zonă cu acces restricționat;Kısıtlı bölgeden çıktınız;Sie haben eine Zone mit beschränktem Zugang verlassen;Εξήλθατε από ζώνη περιορισμένης πρόσβασης;Stai uscendo dalla zona a traffico limitato.;Vous quittez une zone restreinte;Has salido de una zona restringida;Saiu de uma zona condicionada;Opuściłeś strefę ograniczoną;Opustili jste omezenou zónu.;Opustili ste obmedzenú zónu;Elhagyta a korlátozott zónát;Napustili ste ograničenu zonu;Zapustili ste omejeno cono
alert_avgspeed_entering;Played when user has just entered a section control segment;You are entering a section control zone!;Влизате в участъкза средна скорост!;Intrați într-o zonă de control de secțiune!;Bölüm kontrolü bölgesine giriyorsunuz!;Sie fahren in eine Abschnittskontrollzone ein!;Εισέρχεστε σε ζώνη ελέγχου τμήματος!;Stai entrando in una zona di controllo di tratta!;Vous entrez dans une zone de radar tronçon !;¡Estás entrando en una zona de radar de tramo!;Está a entrar numa zona de controlo por troço!;Wjeżdżasz w strefę odcinkowego pomiaru prędkości!;Vstupujete do zóny úsekového měření rychlosti!;Vstupujete do zóny úsekového merania rýchlosti!;Szakaszos sebességmérési zónába lép!;Ulazite u zonu odsjecznog mjerenja brzine!;Vstopate v odsek odsekove kontrole!
alert_avgspeed_exiting;Played when user has just exited a section control segment through an exit point;You are leaving a section control zone.;Напускате участъкза средна скорост.;Ieșiți dintr-o zonă de control de secțiune.;Bölüm kontrolü bölgesinden çıkıyorsunuz.;Sie verlassen die Abschnittskontrollzone.;Εξέρχεστε από ζώνη ελέγχου τμήματος.;Stai uscendo dalla zona di controllo di tratta.;Vous quittez une zone de radar tronçon.;Estás saliendo de una zona de radar de tramo.;Está a sair de uma zona de controlo por troço.;Opuszczasz strefę odcinkowego pomiaru prędkości.;Opouštíte zónu úsekového měření rychlosti.;Opúšťate zónu úsekového merania rýchlosti.;Elhagyja a szakaszos sebességmérési zónát.;Napuštate zonu odsjecznog mjerenja brzine.;Zapuščate odsek odsekove kontrole.
alert_avgspeed_switching;Player when user has just switched from one segment to another (in succession);You are entering another section control zone;Преминавате към следващ участъкза средна скорост.;Intrați într-o altă zonă de control de secțiune;Bir sonraki bölüm kontrolü bölgesine geçiyorsunuz;Sie fahren in eine weitere Abschnittskontrollzone ein;Εισέρχεστε σε νέα ζώνη ελέγχου τμήματος;Stai entrando in un'altra zona di controllo di tratta.;Vous entrez dans une autre zone de radar tronçon;Estás entrando en otro tramo de radar de tramo;Está a entrar noutro troço de controlo por troço;Wjeżdżasz w kolejną strefę odcinkowego pomiaru prędkości;Vstupujete do další zóny úsekového měření rychlosti.;Vstupujete do ďalšej zóny úsekového merania rýchlosti;Belép a következő szakaszos sebességmérési zónába;Prelazite u drugu zonu odsjecznog mjerenja brzine;Prehajate na naslednji odsek odsekove kontrole
alert_avgspeed_no_longer;Played when used has just exited a section control segment not through an exit point (no longer in segment);You are no longer in a section control zone.;Вече не се намирате в участъкза средна скорост.;Nu mai sunteți într-o zonă de control de secțiune.;Artık bölüm kontrolü bölgesinde değilsiniz.;Sie befinden sich nicht mehr in einer Abschnittskontrollzone.;Δεν βρίσκεστε πλέον σε ζώνη ελέγχου τμήματος.;Non sei più in una zona di controllo di tratta.;Vous n'êtes plus dans une zone de radar tronçon.;Ya no estás en una zona de radar de tramo.;Já não se encontra numa zona de controlo por troço.;Jesteś poza strefą odcinkowego pomiaru prędkości.;Již se nenacházíte v zóně úsekového měření rychlosti.;Už sa nenachádzate v zóne úsekového merania rýchlosti.;Már nem tartózkodik szakaszos sebességmérési zónában.;Više niste u zoni odsjecznog mjerenja brzine.;Niste več v odseku odsekove kontrole.
alert_avgspeed_exceeding;Played when user is exceeding the average speed on the set tolerance in a section control segment;You are exceeding the average speed!;Превишаватесредната скорост!;Depășiți viteza medie!;Ortalama hızı aşıyorsunuz!;Sie überschreiten die Durchschnittsgeschwindigkeit!;Υπερβαίνετε τη μέση ταχύτητα!;Stai superando la velocità media consentita!;Vous dépassez la vitesse moyenne !;¡Estás superando la velocidad media!;Está a exceder a velocidade média!;Przekraczasz dozwoloną średnią prędkość!;Překračujete povolenou průměrnou rychlost!;Prekračujete priemernú rýchlosť!;Túllépi a megengedett átlagsebességet!;Prekoračili ste dopuštenu prosječnu brzinu!;Prekoračujete povprečno hitrost!
alert_red_light_camera;Played for static red light camera dangers;red light camera;светофарна камера;cameră pentru semafor;kırmızı ışık kamerası;Ampelblitzer;κάμερα κόκκινου σηματοδότη;telecamera per semaforo rosso;radar de feu rouge;radar de semáforo en rojo;radar de semáforo;fotoradar na przejeździe na czerwonym świetle;kamera na červenou;kamera na červenú;piros lámpa kamera;kamera za crveno svjetlo;kamera za rdečo luč
